2020-04-22 17:51:27 Debug: Notice (8): Undefined index: Section in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 28]
2020-04-22 17:51:33 Debug: Notice (8): Undefined index: Student in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 19]
2020-04-22 17:51:33 Debug: Notice (8): Undefined index: Section in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 28]
2020-04-22 17:52:28 Debug: Notice (8): Undefined index: sno in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 20]
2020-04-22 17:52:28 Debug: Notice (8): Undefined index: class_name in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 23]
2020-04-22 17:52:28 Debug: Notice (8): Undefined index: gender in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 24]
2020-04-22 17:52:29 Debug: Notice (8): Undefined index: sno in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 20]
2020-04-22 17:52:29 Debug: Notice (8): Undefined index: class_name in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 23]
2020-04-22 17:52:29 Debug: Notice (8): Undefined index: gender in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 24]
2020-04-22 17:52:31 Debug: Notice (8): Undefined index: sno in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 20]
2020-04-22 17:52:31 Debug: Notice (8): Undefined index: class_name in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 23]
2020-04-22 17:52:31 Debug: Notice (8): Undefined index: gender in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 24]
2020-04-22 17:52:47 Debug: Notice (8): Undefined index: Student in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 19]
2020-04-22 17:52:47 Debug: Notice (8): Undefined index: Section in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 28]
2020-04-22 17:52:52 Debug: Notice (8): Undefined index: sno in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 20]
2020-04-22 17:52:52 Debug: Notice (8): Undefined index: class_name in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 23]
2020-04-22 17:52:52 Debug: Notice (8): Undefined index: gender in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 24]
2020-04-22 17:52:57 Debug: Notice (8): Undefined index: Student in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 19]
2020-04-22 17:52:57 Debug: Notice (8): Undefined index: Section in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 28]
2020-04-22 17:53:06 Debug: Notice (8): Undefined index: Student in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 19]
2020-04-22 17:53:06 Debug: Notice (8): Undefined index: Section in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 28]
2020-04-22 17:53:28 Debug: Notice (8): Undefined index: sno in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 20]
2020-04-22 17:53:28 Debug: Notice (8): Undefined index: class_name in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 23]
2020-04-22 17:53:28 Debug: Notice (8): Undefined index: gender in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 24]
2020-04-22 17:54:12 Debug: Notice (8): Undefined index: sno in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 20]
2020-04-22 17:54:12 Debug: Notice (8): Undefined index: class_name in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 23]
2020-04-22 17:54:12 Debug: Notice (8): Undefined index: gender in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 24]
